,country,date,new_cases,cumulative_cases
273,Central African Republic,2020-01-31,0,0
274,Central African Republic,2020-07-31,5374,249177
275,Central African Republic,2021-01-31,490,1047076
276,Central African Republic,2021-07-31,5305,1591803
277,Central African Republic,2022-01-31,2941,2188719
278,Central African Republic,2022-07-31,671,2610589
279,Central African Republic,2023-01-31,175,1012230
280,Chad,2020-01-31,0,0
281,Chad,2020-07-31,935,67516
282,Chad,2021-01-31,2412,294409
283,Chad,2021-07-31,1626,829383
284,Chad,2022-01-31,2182,997207
285,Chad,2022-07-31,277,1331143
286,Chad,2023-01-31,149,511098
287,Chile,2020-01-31,0,0
288,Chile,2020-07-31,353536,17216235
289,Chile,2021-01-31,369364,94389421
290,Chile,2021-07-31,891729,215895964
291,Chile,2022-01-31,523114,317712287
292,Chile,2022-07-31,2095806,636266328
293,Chile,2023-01-31,408484,305324480
294,China,2020-01-31,9720,36851
295,China,2020-07-31,78236,14457411
296,China,2021-01-31,12921,17117995
297,China,2021-07-31,19758,19572434
298,China,2022-01-31,18357,23414075
299,China,2022-07-31,5477128,395089574
300,China,2023-01-31,2326534,450920394
301,Colombia,2020-01-31,0,0
302,Colombia,2020-07-31,276055,7445032
303,Colombia,2021-01-31,1801578,202091632
304,Colombia,2021-07-31,2689196,559859011
305,Colombia,2022-01-31,1089029,931755412
306,Colombia,2022-07-31,409940,1104294295
307,Colombia,2023-01-31,41574,428122079
308,Comoros,2020-01-31,0,0
309,Comoros,2020-07-31,312,12541
310,Comoros,2021-01-31,2336,117135
311,Comoros,2021-07-31,1380,674814
312,Comoros,2022-01-31,3804,898873
313,Comoros,2022-07-31,497,1468064
314,Comoros,2023-01-31,142,573713
315,Congo,2020-01-31,0,0
316,Congo,2020-07-31,3387,117456
317,Congo,2021-01-31,4673,1019039
318,Congo,2021-07-31,5156,1964475
319,Congo,2022-01-31,10576,3200441
320,Congo,2022-07-31,983,4365755
321,Congo,2023-01-31,0,1684700
322,Cook Islands,2020-01-31,0,0
323,Cook Islands,2020-07-31,0,0
324,Cook Islands,2021-01-31,0,0
325,Cook Islands,2021-07-31,0,0
326,Cook Islands,2022-01-31,0,0
327,Cook Islands,2022-07-31,6042,648863
328,Cook Islands,2023-01-31,347,428402
329,Costa Rica,2020-01-31,0,0
330,Costa Rica,2020-07-31,16800,380412
331,Costa Rica,2021-01-31,176476,19469120
332,Costa Rica,2021-07-31,211930,49920422
333,Costa Rica,2022-01-31,283295,98870968
334,Costa Rica,2022-07-31,355884,158210520
335,Costa Rica,2023-01-31,78616,74202175
336,Croatia,2020-01-31,0,0
337,Croatia,2020-07-31,5071,314206
338,Croatia,2021-01-31,227019,16296516
339,Croatia,2021-07-31,131307,56232835
340,Croatia,2022-01-31,572325,98118206
341,Croatia,2022-07-31,250077,200423647
342,Croatia,2023-01-31,50520,82530551
343,Cuba,2020-01-31,0,0
344,Cuba,2020-07-31,2597,224051
345,Cuba,2021-01-31,23077,1503806
346,Cuba,2021-07-31,350047,22694549
347,Cuba,2022-01-31,664121,157275938
348,Cuba,2022-07-31,68143,197761245
349,Cuba,2023-01-31,3239,75498922
350,Curaçao,2020-01-31,0,0
351,Curaçao,2020-07-31,29,2499
352,Curaçao,2021-01-31,4545,313317
353,Curaçao,2021-07-31,8919,1767736
354,Curaçao,2022-01-31,23229,3459285
355,Curaçao,2022-07-31,8341,7572999
356,Curaçao,2023-01-31,327,3078670
357,Cyprus,2020-01-31,0,0
358,Cyprus,2020-07-31,1084,110384
359,Cyprus,2021-01-31,30144,1755075
360,Cyprus,2021-07-31,71699,11083743
361,Cyprus,2022-01-31,147660,25627483
362,Cyprus,2022-07-31,312324,79879404
363,Cyprus,2023-01-31,27872,39273199
364,Czechia,2020-01-31,0,0
365,Czechia,2020-07-31,16393,1202452
366,Czechia,2021-01-31,971113,66255923
367,Czechia,2021-07-31,691410,275906168
368,Czechia,2022-01-31,1338055,369951659
369,Czechia,2022-07-31,968441,687844262
370,Czechia,2023-01-31,138065,275411339
371,Côte d’Ivoire,2020-01-31,0,0
372,Côte d’Ivoire,2020-07-31,15978,660979
373,Côte d’Ivoire,2021-01-31,12200,3802218
374,Côte d’Ivoire,2021-07-31,21826,7797406
375,Côte d’Ivoire,2022-01-31,30691,11463464
376,Côte d’Ivoire,2022-07-31,4611,14894643
377,Côte d’Ivoire,2023-01-31,2010,5889775
378,Democratic People's Republic of Korea,2020-01-31,0,0
379,Democratic People's Republic of Korea,2020-07-31,0,0
380,Democratic People's Republic of Korea,2021-01-31,0,0
381,Democratic People's Republic of Korea,2021-07-31,0,0
382,Democratic People's Republic of Korea,2022-01-31,0,0
383,Democratic People's Republic of Korea,2022-07-31,0,0
384,Democratic People's Republic of Korea,2023-01-31,0,0
385,Democratic Republic of the Congo,2020-01-31,0,0
386,Democratic Republic of the Congo,2020-07-31,9069,463457
387,Democratic Republic of the Congo,2021-01-31,13701,2407249
388,Democratic Republic of the Congo,2021-07-31,27146,5839765
389,Democratic Republic of the Congo,2022-01-31,35612,11521221
390,Democratic Republic of the Congo,2022-07-31,6902,15997621
391,Democratic Republic of the Congo,2023-01-31,462,6305275
392,Denmark,2020-01-31,0,0
393,Denmark,2020-07-31,13661,1332265
394,Denmark,2021-01-31,184585,13735030
395,Denmark,2021-07-31,117325,46021658
396,Denmark,2022-01-31,1397914,100581352
397,Denmark,2022-07-31,1516181,539453545
398,Denmark,2023-01-31,77520,222525853
399,Djibouti,2020-01-31,0,0
400,Djibouti,2020-07-31,5081,351576
401,Djibouti,2021-01-31,850,1026642
402,Djibouti,2021-07-31,5720,1728459
403,Djibouti,2022-01-31,3800,2413959
404,Djibouti,2022-07-31,239,2827483
405,Djibouti,2023-01-31,0,1066920
406,Dominica,2020-01-31,0,0
407,Dominica,2020-07-31,18,2080
408,Dominica,2021-01-31,99,10444
409,Dominica,2021-07-31,93,30916
410,Dominica,2022-01-31,8822,828447
411,Dominica,2022-07-31,5820,2313591
412,Dominica,2023-01-31,908,1018004
413,Dominican Republic,2020-01-31,0,0
414,Dominican Republic,2020-07-31,67915,2692749
415,Dominican Republic,2021-01-31,144638,24197952
416,Dominican Republic,2021-07-31,128957,50080847
417,Dominican Republic,2022-01-31,212542,72632805
418,Dominican Republic,2022-07-31,74673,106173493
419,Dominican Republic,2023-01-31,17484,43493554
420,Ecuador,2020-01-31,0,0
421,Ecuador,2020-07-31,84370,4927996
422,Ecuador,2021-01-31,165409,30183274
423,Ecuador,2021-07-31,236765,67964552
424,Ecuador,2022-01-31,239392,97764360
425,Ecuador,2022-07-31,237732,157089152
426,Ecuador,2023-01-31,42209,67546770
427,Egypt,2020-01-31,0,0
428,Egypt,2020-07-31,93757,4423140
429,Egypt,2021-01-31,71661,21212949
430,Egypt,2021-07-31,118797,41773518
431,Egypt,2022-01-31,139473,61815738
432,Egypt,2022-07-31,90971,90749032
433,Egypt,2023-01-31,722,35037011
434,El Salvador,2020-01-31,0,0
435,El Salvador,2020-07-31,16230,500535
436,El Salvador,2021-01-31,37759,6409479
437,El Salvador,2021-07-31,32631,12569877
438,El Salvador,2022-01-31,47535,20283123
439,El Salvador,2022-07-31,56663,29245580
440,El Salvador,2023-01-31,10967,13392370
441,Equatorial Guinea,2020-01-31,0,0
442,Equatorial Guinea,2020-07-31,4821,247614
443,Equatorial Guinea,2021-01-31,713,938748
444,Equatorial Guinea,2021-07-31,3377,1366102
445,Equatorial Guinea,2022-01-31,6891,2301740
446,Equatorial Guinea,2022-07-31,939,2897498
447,Equatorial Guinea,2023-01-31,187,1146290
448,Eritrea,2020-01-31,0,0
449,Eritrea,2020-07-31,279,12602
450,Eritrea,2021-01-31,1856,126050
451,Eritrea,2021-07-31,4410,735442
452,Eritrea,2022-01-31,2980,1337434
453,Eritrea,2022-07-31,507,1765160
454,Eritrea,2023-01-31,138,690060
455,Estonia,2020-01-31,0,0
456,Estonia,2020-07-31,2070,224742
457,Estonia,2021-01-31,42195,2262805
458,Estonia,2021-07-31,89484,19647094
459,Estonia,2022-01-31,204927,36182873
460,Estonia,2022-07-31,252235,99178177
