Port Name,Administrative Approach Rank,"Total
Points",Economy Label,Port Name.1,Statistic Approach Rank,IndeX Value,Economy Label.1,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
NAPLES,283,-19.737,Italy,CORINTO,283,-8.686,Nicaragua,2021S01,S1   2021,2021,S,Semi-annual,380,3,Container ships,3887,
NAPLES,283,-19.737,Italy,CORINTO,283,-8.686,Nicaragua,2021S01,S1   2021,2021,S,Semi-annual,380,4,Dry breakbulk carriers,3431,
NAPLES,283,-19.737,Italy,CORINTO,283,-8.686,Nicaragua,2021S01,S1   2021,2021,S,Semi-annual,380,5,Dry bulk carriers,1038,
NAPLES,283,-19.737,Italy,CORINTO,283,-8.686,Nicaragua,2021S01,S1   2021,2021,S,Semi-annual,380,6,Roll-on/ roll-off ships,4685,
NAPLES,283,-19.737,Italy,CORINTO,283,-8.686,Nicaragua,2021S01,S1   2021,2021,S,Semi-annual,380,7,Liquefied petroleum gas carriers,501,
LA SPEZIA,313,-47.346,Italy,MONTREAL,313,-20.272,Canada,2021S01,S1   2021,2021,S,Semi-annual,380,0,All ships,105521,
LA SPEZIA,313,-47.346,Italy,MONTREAL,313,-20.272,Canada,2021S01,S1   2021,2021,S,Semi-annual,380,1,Passenger ships,87540,
LA SPEZIA,313,-47.346,Italy,MONTREAL,313,-20.272,Canada,2021S01,S1   2021,2021,S,Semi-annual,380,2,Liquid bulk carriers,4439,
LA SPEZIA,313,-47.346,Italy,MONTREAL,313,-20.272,Canada,2021S01,S1   2021,2021,S,Semi-annual,380,3,Container ships,3887,
LA SPEZIA,313,-47.346,Italy,MONTREAL,313,-20.272,Canada,2021S01,S1   2021,2021,S,Semi-annual,380,4,Dry breakbulk carriers,3431,
LA SPEZIA,313,-47.346,Italy,MONTREAL,313,-20.272,Canada,2021S01,S1   2021,2021,S,Semi-annual,380,5,Dry bulk carriers,1038,
LA SPEZIA,313,-47.346,Italy,MONTREAL,313,-20.272,Canada,2021S01,S1   2021,2021,S,Semi-annual,380,6,Roll-on/ roll-off ships,4685,
LA SPEZIA,313,-47.346,Italy,MONTREAL,313,-20.272,Canada,2021S01,S1   2021,2021,S,Semi-annual,380,7,Liquefied petroleum gas carriers,501,
TRIESTE,326,-64.659,Italy,VLADIVOSTOK,326,-29.594,Russia,2021S01,S1   2021,2021,S,Semi-annual,380,0,All ships,105521,
TRIESTE,326,-64.659,Italy,VLADIVOSTOK,326,-29.594,Russia,2021S01,S1   2021,2021,S,Semi-annual,380,1,Passenger ships,87540,
TRIESTE,326,-64.659,Italy,VLADIVOSTOK,326,-29.594,Russia,2021S01,S1   2021,2021,S,Semi-annual,380,2,Liquid bulk carriers,4439,
TRIESTE,326,-64.659,Italy,VLADIVOSTOK,326,-29.594,Russia,2021S01,S1   2021,2021,S,Semi-annual,380,3,Container ships,3887,
TRIESTE,326,-64.659,Italy,VLADIVOSTOK,326,-29.594,Russia,2021S01,S1   2021,2021,S,Semi-annual,380,4,Dry breakbulk carriers,3431,
TRIESTE,326,-64.659,Italy,VLADIVOSTOK,326,-29.594,Russia,2021S01,S1   2021,2021,S,Semi-annual,380,5,Dry bulk carriers,1038,
TRIESTE,326,-64.659,Italy,VLADIVOSTOK,326,-29.594,Russia,2021S01,S1   2021,2021,S,Semi-annual,380,6,Roll-on/ roll-off ships,4685,
TRIESTE,326,-64.659,Italy,VLADIVOSTOK,326,-29.594,Russia,2021S01,S1   2021,2021,S,Semi-annual,380,7,Liquefied petroleum gas carriers,501,
GENOA,337,-93.568,Italy,DUTCH HARBOR,337,-40.159,the Netherlands,2021S01,S1   2021,2021,S,Semi-annual,380,0,All ships,105521,
GENOA,337,-93.568,Italy,DUTCH HARBOR,337,-40.159,the Netherlands,2021S01,S1   2021,2021,S,Semi-annual,380,1,Passenger ships,87540,
GENOA,337,-93.568,Italy,DUTCH HARBOR,337,-40.159,the Netherlands,2021S01,S1   2021,2021,S,Semi-annual,380,2,Liquid bulk carriers,4439,
GENOA,337,-93.568,Italy,DUTCH HARBOR,337,-40.159,the Netherlands,2021S01,S1   2021,2021,S,Semi-annual,380,3,Container ships,3887,
GENOA,337,-93.568,Italy,DUTCH HARBOR,337,-40.159,the Netherlands,2021S01,S1   2021,2021,S,Semi-annual,380,4,Dry breakbulk carriers,3431,
GENOA,337,-93.568,Italy,DUTCH HARBOR,337,-40.159,the Netherlands,2021S01,S1   2021,2021,S,Semi-annual,380,5,Dry bulk carriers,1038,
GENOA,337,-93.568,Italy,DUTCH HARBOR,337,-40.159,the Netherlands,2021S01,S1   2021,2021,S,Semi-annual,380,6,Roll-on/ roll-off ships,4685,
GENOA,337,-93.568,Italy,DUTCH HARBOR,337,-40.159,the Netherlands,2021S01,S1   2021,2021,S,Semi-annual,380,7,Liquefied petroleum gas carriers,501,
LIVORNO,338,-96.571,Italy,TRIESTE,338,-40.42,Italy,2021S01,S1   2021,2021,S,Semi-annual,380,0,All ships,105521,
LIVORNO,338,-96.571,Italy,TRIESTE,338,-40.42,Italy,2021S01,S1   2021,2021,S,Semi-annual,380,1,Passenger ships,87540,
LIVORNO,338,-96.571,Italy,TRIESTE,338,-40.42,Italy,2021S01,S1   2021,2021,S,Semi-annual,380,2,Liquid bulk carriers,4439,
LIVORNO,338,-96.571,Italy,TRIESTE,338,-40.42,Italy,2021S01,S1   2021,2021,S,Semi-annual,380,3,Container ships,3887,
LIVORNO,338,-96.571,Italy,TRIESTE,338,-40.42,Italy,2021S01,S1   2021,2021,S,Semi-annual,380,4,Dry breakbulk carriers,3431,
LIVORNO,338,-96.571,Italy,TRIESTE,338,-40.42,Italy,2021S01,S1   2021,2021,S,Semi-annual,380,5,Dry bulk carriers,1038,
LIVORNO,338,-96.571,Italy,TRIESTE,338,-40.42,Italy,2021S01,S1   2021,2021,S,Semi-annual,380,6,Roll-on/ roll-off ships,4685,
LIVORNO,338,-96.571,Italy,TRIESTE,338,-40.42,Italy,2021S01,S1   2021,2021,S,Semi-annual,380,7,Liquefied petroleum gas carriers,501,
POSORJA,66,61.465,Ecuador,PORT TAMPA BAY,66,24.194,USA,,,,,,,,,,
PUERTO BOLIVAR (ECUADOR),156,16.72,Ecuador,DANANG,156,6.541,Vietnam,,,,,,,,,,
GUAYAQUIL,296,-29.497,Ecuador,MOMBASA,296,-12.177,Kenya,,,,,,,,,,
COLON,73,57.339,Panama,LIANYUNGANG,73,21.818,China,,,,,,,,,,
CRISTOBAL,134,24.246,Panama,PUERTO QUETZAL,134,9.34,Guatemala,,,,,,,,,,
MARSAXLOKK,74,54.994,Malta,MARSAXLOKK,74,21.723,Malta,,,,,,,,,,
PAITA,75,54.742,?Peru,MUHAMMAD BIN QASIM,75,21.688,Pakistan,,,,,,,,,,
BALTIMORE (MARYLAND),76,54.641,Maryland,ALTAMIRA,76,21.645,Spain,,,,,,,,,,
JOHOR,80,52.565,Malaysia,PUERTO LIMON,80,20.312,Costa Rica,,,,,,,,,,
PENANG,111,36.34,Malaysia,SAVONA-VADO,111,14.739,Italy,,,,,,,,,,
MUHAMMAD BIN QASIM,81,50.962,Pakistan,DALIAN,81,20.193,China,,,,,,,,,,
KARACHI,90,46.399,Pakistan,KARACHI,90,19.459,Pakistan,,,,,,,,,,
AARHUS,82,50.953,Denmark,PIRAEUS,82,20.096,Greece,2021S01,S1   2021,2021,S,Semi-annual,208,0,All ships,50774,
AARHUS,82,50.953,Denmark,PIRAEUS,82,20.096,Greece,2021S01,S1   2021,2021,S,Semi-annual,208,1,Passenger ships,43381,
AARHUS,82,50.953,Denmark,PIRAEUS,82,20.096,Greece,2021S01,S1   2021,2021,S,Semi-annual,208,2,Liquid bulk carriers,1316,
