Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value,Economy Label,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
FREMANTLE,335,-90.529,328,-29.997,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,4,Dry breakbulk carriers,960,
FREMANTLE,335,-90.529,328,-29.997,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,5,Dry bulk carriers,7410,
FREMANTLE,335,-90.529,328,-29.997,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,6,Roll-on/ roll-off ships,1413,
FREMANTLE,335,-90.529,328,-29.997,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,7,Liquefied petroleum gas carriers,213,
FREMANTLE,335,-90.529,328,-29.997,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,8,Liquefied natural gas carriers,554,
MELBOURNE,308,-37.421,294,-11.938,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,0,All ships,29514,
MELBOURNE,308,-37.421,294,-11.938,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,1,Passenger ships,15600,
MELBOURNE,308,-37.421,294,-11.938,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,2,Liquid bulk carriers,1528,
MELBOURNE,308,-37.421,294,-11.938,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,3,Container ships,1836,
MELBOURNE,308,-37.421,294,-11.938,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,4,Dry breakbulk carriers,960,
MELBOURNE,308,-37.421,294,-11.938,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,5,Dry bulk carriers,7410,
MELBOURNE,308,-37.421,294,-11.938,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,6,Roll-on/ roll-off ships,1413,
MELBOURNE,308,-37.421,294,-11.938,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,7,Liquefied petroleum gas carriers,213,
MELBOURNE,308,-37.421,294,-11.938,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,8,Liquefied natural gas carriers,554,
PORT BOTANY,324,-63.908,321,-25.565,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,0,All ships,29514,
PORT BOTANY,324,-63.908,321,-25.565,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,1,Passenger ships,15600,
PORT BOTANY,324,-63.908,321,-25.565,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,2,Liquid bulk carriers,1528,
PORT BOTANY,324,-63.908,321,-25.565,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,3,Container ships,1836,
PORT BOTANY,324,-63.908,321,-25.565,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,4,Dry breakbulk carriers,960,
PORT BOTANY,324,-63.908,321,-25.565,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,5,Dry bulk carriers,7410,
PORT BOTANY,324,-63.908,321,-25.565,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,6,Roll-on/ roll-off ships,1413,
PORT BOTANY,324,-63.908,321,-25.565,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,7,Liquefied petroleum gas carriers,213,
PORT BOTANY,324,-63.908,321,-25.565,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,8,Liquefied natural gas carriers,554,
ADEN,305,-34.779,285,-9.507,Yemen,,,,,,,,,,
AGADIR,261,-8.711,260,-3.714,Morocco,,,,,,,,,,
CASABLANCA,262,-9.239,262,-4.073,Morocco,,,,,,,,,,
TANGER-MEDITERRANEAN,6,178.096,6,80.411,Morocco,,,,,,,,,,
ALEXANDRIA (EGYPT),277,-15.305,266,-5.001,Egypt,,,,,,,,,,
DAMIETTA,58,72.703,56,29.427,Egypt,,,,,,,,,,
EL DEKHEILA,139,21.701,133,9.355,Egypt,,,,,,,,,,
PORT SAID,15,141.336,13,63.39,Egypt,,,,,,,,,,
SOKHNA,353,-158.457,352,-66.771,Egypt,,,,,,,,,,
ALGECIRAS,11,155.851,10,70.323,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,0,All ships,53130,
ALGECIRAS,11,155.851,10,70.323,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,1,Passenger ships,26286,
ALGECIRAS,11,155.851,10,70.323,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,2,Liquid bulk carriers,7660,
